Query,Recall,Precision
0.jpg,1,1
1.jpg,1,0.6
10.jpg,1,1
100.jpg,0.8,1
101.jpg,0.4,1
102.jpg,0.8,1
103.jpg,0.6,1
104.jpg,0.4,1
105.jpg,0.2,1
106.jpg,0.4,1
107.jpg,0.2,1
108.jpg,0.2,1
109.jpg,0.2,0.9
11.jpg,1,1
110.jpg,0.8,0.5
111.jpg,0.8,0.5
112.jpg,0.4,0.9
113.jpg,0.8,1
114.jpg,0.2,1
115.jpg,0.4,0.8
116.jpg,0.2,0.8
117.jpg,0.8,1
118.jpg,0.2,1
119.jpg,1,0.8
12.jpg,1,1
120.jpg,0.4,1
121.jpg,0.4,0.6
122.jpg,0.2,1
123.jpg,0.6,1
124.jpg,0.2,1
125.jpg,0.4,1
126.jpg,0.2,1
127.jpg,1,1
128.jpg,0.4,1
129.jpg,0.4,1
13.jpg,1,1
130.jpg,0.4,1
131.jpg,0.8,1
132.jpg,0.4,1
133.jpg,0.4,0.5
134.jpg,0.4,1
135.jpg,0.4,0.4
136.jpg,0.4,1
137.jpg,1,1
138.jpg,0.2,1
139.jpg,0.4,1
14.jpg,0.6,1
140.jpg,0.2,0.8
141.jpg,0.8,0.7
142.jpg,0.8,0.6
143.jpg,0.4,0.8
144.jpg,0.2,1
145.jpg,0.6,1
146.jpg,1,1
147.jpg,0.6,0.8
148.jpg,0.4,1
149.jpg,1,1
15.jpg,1,1
150.jpg,0.8,1
151.jpg,0.4,0.7
152.jpg,1,1
153.jpg,0.2,0.8
154.jpg,0.2,1
155.jpg,0.4,1
156.jpg,1,1
157.jpg,1,1
158.jpg,0.6,1
159.jpg,0.8,1
16.jpg,1,1
160.jpg,0.2,0.6
161.jpg,0.6,1
162.jpg,0.4,1
163.jpg,0.8,1
164.jpg,0.2,0.8
165.jpg,1,0.7
166.jpg,0.6,1
167.jpg,0.4,0.8
168.jpg,0.8,0.7
169.jpg,0.6,0.6
17.jpg,1,1
170.jpg,0.4,1
171.jpg,0.2,1
172.jpg,0.4,0.8
173.jpg,0.8,1
174.jpg,0.2,1
175.jpg,0.2,0.9
176.jpg,0.4,1
177.jpg,0.2,1
178.jpg,0.4,0.8
179.jpg,1,0.9
18.jpg,1,1
180.jpg,0.8,1
181.jpg,0.8,0.4
182.jpg,0.4,0.9
